measurements,min_word_length,max_word_length,mean_time_ms,median_time_ms,pearson_r,slope_ms_per_token,intercept_ms,benchmark_set,grammar
560,10,49,3021.1766964285716,2226.625,0.9295954989253081,216.65743185310063,-3283.5545704966626,big_grammar,1
700,1,50,268.9782257142857,137.219,0.8113235902972182,18.76345988667281,-212.11688578000485,grammars,16
700,2,50,132.73677857142857,58.412,0.9045273276102725,10.132526400138865,-120.98168248804868,grammars,17
700,2,50,118.80360714285713,57.579,0.9096954216380508,8.460398960686952,-93.72161474959898,grammars,8
700,3,48,106.80517428571429,49.869,0.9018235372414324,7.827892274724226,-87.40483305019379,grammars,6
700,1,50,95.40017428571429,38.2455,0.7182879247741562,6.7892860872376986,-75.5540493909309,grammars,15
700,4,50,94.68980571428571,46.79600000000001,0.9095211186830828,6.780183116654616,-82.00176630573333,grammars,2
700,1,49,91.24912,45.8545,0.8986454727619073,6.6692718860700575,-72.88166111618415,grammars,10
700,1,50,85.90442285714286,49.120000000000005,0.8857621159727782,6.246581867710837,-70.759850385045,grammars,14
700,2,50,85.75752857142857,45.141999999999996,0.9066975830327177,5.9240102541440605,-65.77865372957643,grammars,13
700,3,50,78.13516714285714,44.9925,0.8983477618860402,5.663487494855357,-64.81125722729202,grammars,1
700,4,50,69.39325857142856,40.6595,0.8958896911772838,5.127743457811098,-61.56930934106683,grammars,4
700,1,50,42.46617714285714,25.659999999999997,0.9090288112760285,2.811669530508415,-27.23511051844653,grammars,12
364,1,49,40.95183516483517,26.4495,0.9190646252244387,2.680569518716578,-23.58803093964856,grammars,9
700,3,50,34.615075714285716,19.430500000000002,0.9030309223404844,2.447774972200314,-26.212132344892115,g2,1
700,2,50,34.241305714285716,20.4035,0.8810816899126602,2.4188239611282656,-25.237575489858315,g1,1
700,3,50,31.81522428571429,22.026,0.9072481140586974,2.2483751574778474,-24.46160590595617,grammars,7
140,2,3,0.4972285714285714,0.4235,0.025179190457678052,0.011532467532467628,0.4689740259740262,grammars,5
56,3,5,2.389482142857143,1.2765,-0.200724160758945,-1.3446428571428577,8.104214285714287,grammars,11
